"domain","domainLabel","evidenceKey"
"quran","Quran","license_or_permission"
"quran","Quran","attribution_wording"
"quran","Quran","checksum_integrity_plan"
"quran","Quran","scholarly_reviewer_signoff"
"tafseer","Tafseer","license_or_permission"
"tafseer","Tafseer","attribution_wording"
"tafseer","Tafseer","checksum_integrity_plan"
"tafseer","Tafseer","scholarly_reviewer_signoff"
"hadith","Hadith","license_or_permission"
"hadith","Hadith","attribution_wording"
"hadith","Hadith","checksum_integrity_plan"
"hadith","Hadith","scholarly_reviewer_signoff"
